Tags,project_type,category,project,total_debt
unused,Quantum,ToolKit,OriginQ/QPanda-2,16.687578419071517
unused,Quantum,ToolKit,boschmitt/tweedledum,0
unused,Quantum,ToolKit,qojulia/QuantumOptics.jl,0.0
unused,Quantum,ToolKit,tensorflow/quantum,1.8633540372670807
unused,Quantum,ToolKit,XanaduAI/pennylane,16.990291262135923
unused,Quantum,ToolKit,aiidateam/aiida-quantumespresso,22.789651293588303
unused,Quantum,ToolKit,QInfer/python-qinfer,16.485428447150934
unused,Quantum,ToolKit,jcmgray/quimb,9.832204886664705
unused,Quantum,ToolKit,Qiskit/qiskit-ignis,17.04
unused,Quantum,Compiler,Quantomatic/pyzx,33.50785340314136
unused,Quantum,Compiler,microsoft/qsharp-compiler,0
unused,Quantum,Compiler,QE-Lab/OpenQL,2.8599999999999994
unused,Quantum,Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,20.360551431601273
unused,Quantum,Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,14.990000000000002
unused,Quantum,Quantum-Chemistry,GQCG/GQCP,43.75
unused,Quantum,Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,0
unused,Quantum,Quantum-Chemistry,QMCPACK/qmcpack,0
unused,Quantum,Quantum-Chemistry,MolSSI/QCElemental,16.535018430753027
unused,Quantum,Quantum-Chemistry,qcdb/qcdb,26.64
unused,Quantum,Quantum-Chemistry,aoterodelaroza/critic2,0
unused,Quantum,Quantum-Chemistry,ValeevGroup/mpqc,20.422535211267604
unused,Quantum,Quantum-Chemistry,ericchansen/q2mm,33.69663941871026
unused,Quantum,Quantum-Chemistry,MolSSI/QCFractal,38.15789473684211
unused,Quantum,Quantum-Chemistry,cp2k/cp2k,3.990000000000001
unused,Quantum,Quantum-Chemistry,hande-qmc/hande,5.263157894736843
unused,Quantum,Quantum-Chemistry,votca/xtp,19.627749576988155
unused,Quantum,Quantum-Chemistry,pyscf/pyscf,21.599999999999998
unused,Quantum,Quantum-Chemistry,tmancal74/quantarhei,19.19
unused,Quantum,Quantum-Chemistry,LCPQ/quantum_package,9.6514745308311
unused,Quantum,Quantum-Chemistry,MolSSI/QCEngine,23.554913294797686
unused,Quantum,Quantum-Chemistry,SebWouters/CheMPS2,6.7901234567901225
unused,Quantum,Cryptography,supernomad/quantum,9.0
unused,Quantum,Cryptography,exaexa/codecrypt,0
unused,Quantum,Cryptography,mupq/pqm4,0.0
unused,Quantum,Cryptography,theQRL/QRL,6.844423282942506
unused,Quantum,Experimentation,m-labs/artiq,15.979999999999999
unused,Quantum,Experimentation,BBN-Q/Qlab,4.093983624065504
unused,Quantum,Experimentation,sedabull/quantum-shell,0.0
unused,Quantum,Experimentation,zlatko-minev/pyEPR,17.63937282229965
unused,Quantum,Experimentation,lneuhaus/pyrpl,24.615775435031118
unused,Quantum,Experimentation,BBN-Q/QGL,3.54
unused,Quantum,Experimentation,BBN-Q/PyQLab,4.069999999999999
unused,Quantum,Experimentation,qutech/qupulse,11.340958870771479
unused,Quantum,Experimentation,iitis/QuantumInformation.jl,0
unused,Quantum,Assembly,XanaduAI/blackbird,26.43171806167401
unused,Quantum,Assembly,BBN-Q/QGL.jl,0
unused,Quantum,Assembly,artiste-qb-net/qubiter,15.194244604316546
unused,Quantum,Assembly,BBN-Q/pyqgl2,17.940000000000005
unused,Quantum,Assembly,lanl/qmasm,9.55223880597015
unused,Quantum,Quantum Annealing,dwavesystems/penaltymodel,20.53388090349076
unused,Quantum,Quantum Annealing,dwavesystems/dimod,23.143881208397335
unused,Quantum,Quantum Annealing,dwavesystems/dwave-system,17.647058823529413
unused,Quantum,Quantum Annealing,shinmorino/sqaod,9.266628766344514
unused,Quantum,Quantum Annealing,dwavesystems/dwavebinarycsp,37.05179282868526
unused,Quantum,Quantum Annealing,dwavesystems/qbsolv,6.211936662606577
unused,Quantum,Web-Extension,quantacms/quanta,3.0
unused,Quantum,Web-Extension,Quantum-Manager/quantummanager,25.584795321637426
unused,Quantum,Web-Extension,dauphine-dev/drop-feeds,4.223433242506812
unused,Quantum,Web-Extension,Izheil/Quantum-Nox-Firefox-Dark-Full-Theme,0.34
unused,Quantum,Web-Extension,firebug/websocket-monitor,5.176663927691044
unused,Quantum,Web-Extension,foxyproxy/firefox-extension,6.756756756756756
unused,Quantum,Web-Extension,Aris-t2/CustomCSSforFx,0.26
unused,Quantum,Web-Extension,spikespaz/firefox-nativedark,0.0
