Repos_Name,Names,Created_at,login,Fork,Size,stars,releases,open_issues,commits,contributors,Travis,Docker,Language,tyoe,total_pr,total_is,created_at,updated_at,age,file_name,flag,Type,homepage,Description
MobileChromeApps/mobile-chrome-apps,mobile-chrome-apps,2013-05-14T01:41:07Z,MobileChromeApps,392,36218,2509,31,147,2128,46,0,0,Python,0,117,479,2013-05-14T01:41:07Z,2020-09-19T10:03:54Z,2685,N/A,0,None,nan,Chrome apps on Android and iOS
janeczku/calibre-web,calibre-web,2015-08-02T19:01:42Z,janeczku,528,57755,3458,8,171,2106,117,0,0,Python,0,393,1419,2015-08-02T19:01:42Z,2020-09-25T23:43:26Z,1881,calibre-web_snapshots,1,None,nan,":books: Web app for browsing, reading and downloading eBooks stored in a Calibre database"
flexxui/flexx,flexx,2014-09-03T08:38:00Z,flexxui,224,4454,2352,14,69,1907,31,1,0,Python,0,278,603,2014-09-03T08:38:00Z,2020-09-25T15:47:03Z,2214,flexx_snapshots,1,None,http://flexx.readthedocs.io,Write desktop and web apps in pure Python
pre-commit/pre-commit,pre-commit,2014-03-13T00:39:38Z,pre-commit,346,2402,4584,147,28,1773,78,0,0,Python,0,670,1567,2014-03-13T00:39:38Z,2020-09-26T00:34:56Z,2388,pre-commit_snapshots,1,None,https://pre-commit.com,A framework for managing and maintaining multi-language pre-commit hooks.
falconry/falcon,falcon,2012-12-06T18:17:51Z,falconry,797,5910,7884,53,222,1634,137,1,1,Python,0,923,1572,2012-12-06T18:17:51Z,2020-09-25T21:04:16Z,2850,falcon_snapshots,1,None,https://falcon.readthedocs.io/en/stable/,"The no-nonsense, minimalist web services and app backend framework for Python developers with a focus on reliability, correctness and performance at scale."
frappe/bench,bench,2014-07-09T10:24:30Z,frappe,712,30866,637,14,36,1592,75,1,0,Python,0,579,1032,2014-07-09T10:24:30Z,2020-09-24T11:17:43Z,2269,bench_snapshots,1,None,nan,Multi-tenant platform to install and manage Frappe apps
nvbn/thefuck,thefuck,2015-04-08T15:08:04Z,nvbn,2714,2827,54214,81,236,1560,143,1,0,Python,0,498,861,2015-04-08T15:08:04Z,2020-09-26T01:23:18Z,1997,thefuck_snapshots,1,None,nan,Magnificent app which corrects your previous console command.
pinax/pinax-stripe,pinax-stripe,2012-08-18T15:39:19Z,pinax,290,1702,634,32,153,1447,61,0,0,Python,0,319,488,2012-08-18T15:39:19Z,2020-09-21T20:08:20Z,2956,pinax-stripe_snapshots,1,None,nan,a payments Django app for Stripe
django-tastypie/django-tastypie,django-tastypie,2010-03-29T06:01:45Z,django-tastypie,1149,3090,3659,28,415,1275,172,1,0,Python,0,698,1198,2010-03-29T06:01:45Z,2020-09-24T16:13:19Z,3832,django-tastypie_snapshots,1,None,http://tastypieapi.org/,Creating delicious APIs for Django apps since 2010.
localstack/localstack,localstack,2016-10-25T23:48:03Z,localstack,1906,4730,25432,16,253,1239,258,1,1,Python,0,1137,2773,2016-10-25T23:48:03Z,2020-09-26T00:15:20Z,1431,N/A,0,None,https://localstack.cloud,??  A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!
jieter/django-tables2,django-tables2,2010-12-07T05:26:16Z,jieter,351,3525,1269,136,41,1228,113,0,0,Python,0,270,724,2010-12-07T05:26:16Z,2020-09-25T19:54:47Z,3580,django-tables2_snapshots,1,None,https://django-tables2.readthedocs.io/en/latest/,django-tables2 - An app for creating HTML tables
google/personfinder,personfinder,2014-10-17T17:36:25Z,google,199,332614,442,47,110,1215,30,1,1,Python,0,482,637,2014-10-17T17:36:25Z,2020-09-14T05:53:05Z,2158,personfinder_snapshots,1,None,https://google.org/personfinder,Person Finder is a searchable missing person database written in Python and hosted on App Engine.
django-crispy-forms/django-crispy-forms,django-crispy-forms,2011-11-01T11:48:03Z,django-crispy-forms,663,2316,3921,36,74,1099,156,0,0,Python,0,471,992,2011-11-01T11:48:03Z,2020-09-25T19:06:54Z,3251,django-crispy-forms_snapshots,1,None,http://django-crispy-forms.rtfd.org,The best way to have DRY Django forms. The app provides a tag and filter that lets you quickly render forms in a div format while providing an enormous amount of capability to configure and control the rendered HTML.
wooey/Wooey,Wooey,2015-03-01T16:47:05Z,wooey,163,2701,1454,27,58,886,21,0,1,Python,0,133,271,2015-03-01T16:47:05Z,2020-09-23T17:08:32Z,2032,Wooey_snapshots,1,None,http://wooey.readthedocs.org,A Django app that creates automatic web UIs for Python scripts.
rajkumardusad/Tool-X,Tool-X,2017-10-25T14:06:17Z,rajkumardusad,624,3229,1368,2,0,880,5,0,0,Python,0,16,158,2017-10-25T14:06:17Z,2020-09-25T21:03:49Z,1066,Tool-X_snapshots,1,None,https://github.com/rajkumardusad/Tool-X,Tool-X is a kali linux hacking Tool installer. Tool-X developed for termux and other Linux based systems. using Tool-X you can install almost 370+ hacking tools in termux app and other linux based distributions.
